Q12396	accession	Label	Set	CV_Fold	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
P02466	P02466	1	Training	0	Rattus norvegicus	Metazoa	1372	22.0	
Q5JNJ5	Q5JNJ5	1	Training	1	Oryza sativa subsp. japonica	Plants	237	28.0	
Q09098	Q09098	1	Training	2	Mus musculus	Metazoa	99	23.0	
Q9TT95	Q9TT95	1	Training	3	Sus scrofa	Metazoa	120	22.0	
Q9NQ34	Q9NQ34	1	Training	4	Homo sapiens	Metazoa	198	33.0	
Q6GU94	Q6GU94	1	Training	0	Centruroides limpidus	Metazoa	56	24.0	
P12992	P12992	1	Training	1	Heliothis virescens	Metazoa	564	19.0	
K9N4Q4	K9N4Q4	1	Training	2	Phlebotomus papatasi	Metazoa	246	23.0	
Q08334	Q08334	1	Training	3	Homo sapiens	Metazoa	325	19.0	
P00635	P00635	1	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	467	17.0	
P81702	P81702	1	Training	0	Ceratocystis fimbriata f. sp. platani	Fungi	134	14.0	
Q9C9H5	Q9C9H5	1	Training	1	Arabidopsis thaliana	Plants	484	21.0	
Q8NBM8	Q8NBM8	1	Training	2	Homo sapiens	Metazoa	494	22.0	
O42807	O42807	1	Training	3	Aspergillus niger	Fungi	281	21.0	
Q6QX33	Q6QX33	1	Training	4	Bothrops insularis	Metazoa	158	23.0	
P82818	P82818	1	Training	0	Bombyx mori	Metazoa	66	24.0	
P02783	P02783	1	Training	1	Rattus norvegicus	Metazoa	112	21.0	
Q9R1T7	Q9R1T7	1	Training	2	Rattus norvegicus	Metazoa	200	20.0	
P13917	P13917	1	Training	3	Glycine max	Plants	427	24.0	
P28335	P28335	1	Training	4	Homo sapiens	Metazoa	458	32.0	
O64392	O64392	1	Training	0	Triticum aestivum	Plants	146	21.0	
O00105	O00105	1	Training	1	Aspergillus niger	Fungi	564	19.0	
Q15768	Q15768	1	Training	2	Homo sapiens	Metazoa	340	27.0	
Q8NBN3	Q8NBN3	1	Training	3	Homo sapiens	Metazoa	555	21.0	
Q653V7	Q653V7	1	Training	4	Oryza sativa subsp. japonica	Plants	885	33.0	
Q9BWV1	Q9BWV1	1	Training	0	Homo sapiens	Metazoa	1114	30.0	
Q13651	Q13651	1	Training	1	Homo sapiens	Metazoa	578	21.0	
P11438	P11438	1	Training	2	Mus musculus	Metazoa	406	24.0	
P29459	P29459	1	Training	3	Homo sapiens	Metazoa	219	22.0	
Q2ULM2	Q2ULM2	1	Training	4	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	496	16.0	
Q25255	Q25255	1	Training	0	Lucilia cuprina	Metazoa	356	23.0	
Q9BZW8	Q9BZW8	1	Training	1	Homo sapiens	Metazoa	370	21.0	
B1P0S1	B1P0S1	1	Training	2	Pseudopleuronectes americanus	Metazoa	218	23.0	
P30986	P30986	1	Training	3	Eschscholzia californica	Plants	538	23.0	
K9L4P7	K9L4P7	1	Training	4	Penicillium chrysogenum	Fungi	604	18.0	
Q8I817	Q8I817	1	Training	0	Aplysia californica	Metazoa	88	19.0	
A0A8T9EMC0	A0A8T9EMC0	1	Training	1	Heliotropium indicum	Plants	661	20.0	
Q9Z0L3	Q9Z0L3	1	Training	2	Mus musculus	Metazoa	485	17.0	
P02652	P02652	1	Training	3	Homo sapiens	Metazoa	100	18.0	
P01350	P01350	1	Training	4	Homo sapiens	Metazoa	101	21.0	
P16159	P16159	1	Training	0	Triticum aestivum	Plants	143	24.0	
P42264	P42264	1	Training	1	Rattus norvegicus	Metazoa	919	31.0	
P42098	P42098	1	Training	2	Sus scrofa	Metazoa	421	22.0	
Q8JFY4	Q8JFY4	1	Training	3	Anguilla japonica	Metazoa	111	26.0	
Q01638	Q01638	1	Training	4	Homo sapiens	Metazoa	556	18.0	
Q9C9G4	Q9C9G4	1	Training	0	Arabidopsis thaliana	Plants	290	27.0	
E0D877	E0D877	1	Training	1	Aedes albopictus	Metazoa	564	25.0	
Q7Z5A7	Q7Z5A7	1	Training	2	Homo sapiens	Metazoa	132	43.0	
P05533	P05533	1	Training	3	Mus musculus	Metazoa	134	26.0	
P36980	P36980	1	Training	4	Homo sapiens	Metazoa	270	18.0	
P02727	P02727	1	Training	0	Canis lupus familiaris	Metazoa	129	17.0	
Q9PVW8	Q9PVW8	1	Training	1	Silurus asotus	Metazoa	308	23.0	
Q90ZY0	Q90ZY0	1	Training	2	Pseudopleuronectes americanus	Metazoa	68	22.0	
Q28989	Q28989	1	Training	3	Sus scrofa	Metazoa	421	26.0	
Q9NPR2	Q9NPR2	1	Training	4	Homo sapiens	Metazoa	837	43.0	
Q8TC27	Q8TC27	1	Training	0	Homo sapiens	Metazoa	787	16.0	
F1RRV3	F1RRV3	1	Training	1	Sus scrofa	Metazoa	2692	19.0	
P53366	P53366	1	Training	2	Sus scrofa	Metazoa	188	21.0	
Q96F46	Q96F46	1	Training	3	Homo sapiens	Metazoa	866	32.0	
A4LAR6	A4LAR6	1	Training	4	Grifola frondosa	Fungi	107	24.0	
O14791	O14791	1	Training	0	Homo sapiens	Metazoa	398	27.0	
P28088	P28088	1	Training	1	Bos taurus	Metazoa	441	26.0	
Q8RUW5	Q8RUW5	1	Training	2	Arabidopsis thaliana	Plants	433	19.0	
P12820	P12820	1	Training	3	Bos taurus	Metazoa	1306	28.0	
Q6XE38	Q6XE38	1	Training	4	Homo sapiens	Metazoa	83	21.0	
A0A0F7YZQ7	A0A0F7YZQ7	1	Training	0	Conus victoriae	Metazoa	100	24.0	
O42720	O42720	1	Training	1	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432)	Fungi	110	32.0	
Q8HYA9	Q8HYA9	1	Training	2	Sus scrofa	Metazoa	185	20.0	
A1XCI9	A1XCI9	1	Training	3	Fusarium culmorum	Fungi	191	18.0	
A0A0D1DWQ2	A0A0D1DWQ2	1	Training	4	Mycosarcoma maydis	Fungi	290	21.0	
Q9BQ51	Q9BQ51	1	Training	0	Homo sapiens	Metazoa	273	19.0	
Q06K77	Q06K77	1	Training	1	Phlebotomus duboscqi	Metazoa	336	21.0	
P33681	P33681	1	Training	2	Homo sapiens	Metazoa	288	34.0	
A8CL69	A8CL69	1	Training	3	Apis mellifera	Metazoa	195	33.0	
P32802	P32802	1	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	667	22.0	
P07204	P07204	1	Training	0	Homo sapiens	Metazoa	575	18.0	
P0DUS7	P0DUS7	1	Training	1	Doratifera vulnerans	Metazoa	56	19.0	
Q9Y2E5	Q9Y2E5	1	Training	2	Homo sapiens	Metazoa	1009	23.0	
Q02083	Q02083	1	Training	3	Homo sapiens	Metazoa	359	28.0	
P47710	P47710	1	Training	4	Homo sapiens	Metazoa	185	15.0	
Q76BW5	Q76BW5	1	Training	0	Oryza sativa subsp. japonica	Plants	290	25.0	
Q50KB1	Q50KB1	1	Training	1	Emiliania huxleyi	Other	223	17.0	
Q9UBP4	Q9UBP4	1	Training	2	Homo sapiens	Metazoa	350	21.0	
B3STN7	B3STN7	1	Training	3	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi	316	18.0	
P18418	P18418	1	Training	4	Rattus norvegicus	Metazoa	416	17.0	
Q8T0W1	Q8T0W1	1	Training	0	Pimpla hypochondriaca	Metazoa	115	22.0	
P31608	P31608	1	Training	1	Sagittaria sagittifolia	Plants	181	24.0	
Q84V39	Q84V39	1	Training	2	Olea europaea	Plants	123	21.0	
P98066	P98066	1	Training	3	Homo sapiens	Metazoa	277	17.0	
Q63415	Q63415	1	Training	4	Rattus norvegicus	Metazoa	937	45.0	
P15358	P15358	1	Training	0	Haementeria officinalis	Metazoa	136	17.0	
P15309	P15309	1	Training	1	Homo sapiens	Metazoa	386	32.0	
P0DPU8	P0DPU8	1	Training	2	Scolopendra dehaani	Metazoa	105	24.0	
Q9LLT1	Q9LLT1	1	Training	3	Juniperus virginiana	Plants	367	21.0	
B0XRV0	B0XRV0	1	Training	4	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	721	18.0	
P01833	P01833	1	Training	0	Homo sapiens	Metazoa	764	18.0	
P04706	P04706	1	Training	1	Zea mays	Plants	223	19.0	
P00996	P00996	1	Training	2	Bos taurus	Metazoa	79	23.0	
P24807	P24807	1	Training	3	Mus musculus	Metazoa	76	26.0	
O76076	O76076	1	Training	4	Homo sapiens	Metazoa	250	23.0	
Q8BSU2	Q8BSU2	1	Training	0	Mus musculus	Metazoa	246	26.0	
Q96PL1	Q96PL1	1	Training	1	Homo sapiens	Metazoa	93	21.0	
P13806	P13806	1	Training	2	Oryctolagus cuniculus	Metazoa	1106	26.0	
Q8MMH3	Q8MMH3	1	Training	3	Pimpla hypochondriaca	Metazoa	488	19.0	
P14625	P14625	1	Training	4	Homo sapiens	Metazoa	803	21.0	
B0CPC6	B0CPC6	1	Training	0	Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686)	Fungi	206	21.0	
P67861	P67861	1	Training	1	Daboia russelii	Metazoa	144	24.0	
Q5F0I3	Q5F0I3	1	Training	2	Gynostemma pentaphyllum	Plants	300	23.0	
P06028	P06028	1	Training	3	Homo sapiens	Metazoa	91	19.0	
P18428	P18428	1	Training	4	Homo sapiens	Metazoa	481	25.0	
P04275	P04275	1	Training	0	Homo sapiens	Metazoa	2813	22.0	
P00533	P00533	1	Training	1	Homo sapiens	Metazoa	1210	24.0	
Q55GS3	Q55GS3	1	Training	2	Dictyostelium discoideum	Other	607	19.0	
P29794	P29794	1	Training	3	Canis lupus familiaris	Metazoa	180	20.0	
Q9H5V8	Q9H5V8	1	Training	4	Homo sapiens	Metazoa	836	29.0	
P54660	P54660	1	Training	0	Dictyostelium discoideum	Other	143	22.0	
Q9GQV7	Q9GQV7	1	Training	1	Aedes aegypti	Metazoa	128	22.0	
Q9ZT66	Q9ZT66	1	Training	2	Zea mays	Plants	303	43.0	
P02672	P02672	1	Training	3	Bos taurus	Metazoa	615	19.0	
P02701	P02701	1	Training	4	Gallus gallus	Metazoa	152	24.0	
Q99435	Q99435	1	Training	0	Homo sapiens	Metazoa	816	21.0	
P81827	P81827	1	Training	1	Rattus norvegicus	Metazoa	101	21.0	
P08514	P08514	1	Training	2	Homo sapiens	Metazoa	1039	31.0	
Q6DWK3	Q6DWK3	1	Training	3	Colletotrichum lindemuthianum	Fungi	248	26.0	
P19594	P19594	1	Training	4	Glycine max	Plants	158	21.0	
P05059	P05059	1	Training	0	Bos taurus	Metazoa	449	18.0	
P05160	P05160	1	Training	1	Homo sapiens	Metazoa	661	20.0	
P81999	P81999	1	Training	2	Canis lupus familiaris	Metazoa	358	22.0	
P69770	P69770	1	Training	3	Conus marmoreus	Metazoa	94	25.0	
P0DL40	P0DL40	1	Training	4	Vespa magnifica	Metazoa	67	21.0	
O95866	O95866	1	Training	0	Homo sapiens	Metazoa	241	17.0	
P43174	P43174	1	Training	1	Ambrosia psilostachya	Plants	77	22.0	
P05113	P05113	1	Training	2	Homo sapiens	Metazoa	134	19.0	
Q8ISL8	Q8ISL8	1	Training	3	Apis mellifera	Metazoa	78	24.0	
Q78CF9	Q78CF9	1	Training	4	Notechis ater	Metazoa	200	19.0	
P62520	P62520	1	Training	0	Chilobrachys guangxiensis	Metazoa	63	27.0	
Q8NBJ9	Q8NBJ9	1	Training	1	Homo sapiens	Metazoa	832	18.0	
P00760	P00760	1	Training	2	Bos taurus	Metazoa	246	17.0	
P59665	P59665	1	Training	3	Homo sapiens	Metazoa	94	19.0	
P08796	P08796	1	Training	4	Dictyostelium discoideum	Other	514	19.0	
Q86Y34	Q86Y34	1	Training	0	Homo sapiens	Metazoa	549	20.0	
P20774	P20774	1	Training	1	Homo sapiens	Metazoa	298	20.0	
Q4V4I9	Q4V4I9	1	Training	2	Drosophila melanogaster	Metazoa	182	22.0	
P13691	P13691	1	Training	3	Hordeum vulgare	Plants	152	30.0	
Q60GF7	Q60GF7	1	Training	4	Rattus norvegicus	Metazoa	252	22.0	
Q9NPF0	Q9NPF0	1	Training	0	Homo sapiens	Metazoa	282	35.0	
P35613	P35613	1	Training	1	Homo sapiens	Metazoa	385	21.0	
P41271	P41271	1	Training	2	Homo sapiens	Metazoa	181	16.0	
P23142	P23142	1	Training	3	Homo sapiens	Metazoa	703	29.0	
Q9P2K2	Q9P2K2	1	Training	4	Homo sapiens	Metazoa	825	27.0	
Q5XM24	Q5XM24	1	Training	0	Dictyostelium discoideum	Other	494	18.0	
P25404	P25404	1	Training	1	Mirabilis jalapa	Plants	63	27.0	
Q03405	Q03405	1	Training	2	Homo sapiens	Metazoa	335	22.0	
P24821	P24821	1	Training	3	Homo sapiens	Metazoa	2201	22.0	
P20062	P20062	1	Training	4	Homo sapiens	Metazoa	427	18.0	
Q99969	Q99969	1	Training	0	Homo sapiens	Metazoa	163	20.0	
P22412	P22412	1	Training	1	Sus scrofa	Metazoa	409	16.0	
Q968Z6	Q968Z6	1	Training	2	Dictyostelium discoideum	Other	557	19.0	
P50448	P50448	1	Training	3	Bos taurus	Metazoa	468	23.0	
P19425	P19425	1	Training	4	Aedes aegypti	Metazoa	97	19.0	
P07712	P07712	1	Training	0	Aplysia californica	Metazoa	112	23.0	
P55203	P55203	1	Training	1	Bos taurus	Metazoa	1110	56.0	
P53616	P53616	1	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420	24.0	
Q9GZX6	Q9GZX6	1	Training	3	Homo sapiens	Metazoa	179	33.0	
P28798	P28798	1	Training	4	Mus musculus	Metazoa	589	17.0	
Q29422	Q29422	1	Training	0	Ovis aries	Metazoa	333	20.0	
P07994	P07994	1	Training	1	Bos taurus	Metazoa	360	17.0	
Q86LE5	Q86LE5	1	Training	2	Rhipicephalus microplus	Metazoa	110	20.0	
O46162	O46162	1	Training	3	Schistocerca gregaria	Metazoa	92	19.0	
P48816	P48816	1	Training	4	Bombyx mori	Metazoa	137	18.0	
Q7TQN3	Q7TQN3	1	Training	0	Mus musculus	Metazoa	571	29.0	
P05164	P05164	1	Training	1	Homo sapiens	Metazoa	745	48.0	
Q13162	Q13162	1	Training	2	Homo sapiens	Metazoa	271	37.0	
