O74740	Accession
A0A0K2GUJ4	A0A0K2GUJ4
Q810H6	Q810H6
P50947	P50947
Q01560	Q01560
O94418	O94418
Q08683	Q08683
Q15172	Q15172
Q96BY2	Q96BY2
O14328	O14328
P35710	P35710
O94668	O94668
P08044	P08044
Q9FN48	Q9FN48
Q9VM71	Q9VM71
Q08457	Q08457
P0DYC3	P0DYC3
P18847	P18847
Q9BXJ9	Q9BXJ9
Q6Y5D8	Q6Y5D8
P40060	P40060
P26569	P26569
Q8WVX9	Q8WVX9
O22161	O22161
Q54QR9	Q54QR9
Q9UJX4	Q9UJX4
Q9Y5Y0	Q9Y5Y0
P07248	P07248
Q8BTW8	Q8BTW8
P21357	P21357
G5EGA3	G5EGA3
O13800	O13800
Q4ZGE1	Q4ZGE1
Q54XQ2	Q54XQ2
P34707	P34707
Q12106	Q12106
P24309	P24309
P0DYC2	P0DYC2
Q9FNE9	Q9FNE9
Q5TKA1	Q5TKA1
Q9Y7J1	Q9Y7J1
Q9ULX3	Q9ULX3
O76906	O76906
Q8R4N0	Q8R4N0
Q9NZ81	Q9NZ81
Q969P5	Q969P5
Q9GYU8	Q9GYU8
Q6ZIV7	Q6ZIV7
Q9DAT5	Q9DAT5
P40457	P40457
Q9NRP2	Q9NRP2
Q9BUU2	Q9BUU2
Q32NC0	Q32NC0
P52168	P52168
Q96TA1	Q96TA1
P0DO24	P0DO24
Q14916	Q14916
Q69TW5	Q69TW5
Q62417	Q62417
Q9VGH1	Q9VGH1
Q1H5E9	Q1H5E9
Q9UBP6	Q9UBP6
P40992	P40992
Q9HB58	Q9HB58
O54931	O54931
Q9LEV3	Q9LEV3
Q9W420	Q9W420
O42647	O42647
Q9P7L2	Q9P7L2
P40568	P40568
Q9STY0	Q9STY0
Q9SU05	Q9SU05
P53168	P53168
Q9CQ91	Q9CQ91
Q9USU8	Q9USU8
O94311	O94311
P38818	P38818
Q9NZZ3	Q9NZZ3
Q06340	Q06340
Q32KD2	Q32KD2
Q6B9X6	Q6B9X6
Q791V5	Q791V5
P01129	P01129
Q00497	Q00497
O60104	O60104
Q9UJW9	Q9UJW9
O80536	O80536
H9JBU5	H9JBU5
Q00723	Q00723
P40167	P40167
Q9VDV3	Q9VDV3
Q9LUA3	Q9LUA3
F4J284	F4J284
O15014	O15014
Q9FK23	Q9FK23
P40897	P40897
Q9H078	Q9H078
O43299	O43299
Q9SYM2	Q9SYM2
Q3UUI3	Q3UUI3
O14730	O14730
O13803	O13803
P53159	P53159
Q9H8K7	Q9H8K7
P43309	P43309
Q6AX31	Q6AX31
Q969V5	Q969V5
P07390	P07390
P20618	P20618
Q9LSA9	Q9LSA9
Q9BW71	Q9BW71
Q9H0A8	Q9H0A8
O43044	O43044
Q5T197	Q5T197
Q5VZV1	Q5VZV1
O14215	O14215
P38969	P38969
Q9VE86	Q9VE86
Q9XVS4	Q9XVS4
A0A2K3DZC4	A0A2K3DZC4
P04789	P04789
Q96C03	Q96C03
Q7YTB0	Q7YTB0
A1L167	A1L167
Q5HZG9	Q5HZG9
P17152	P17152
Q9LK88	Q9LK88
Q585P3	Q585P3
Q3YEC7	Q3YEC7
Q80UF7	Q80UF7
P40566	P40566
Q10SY9	Q10SY9
Q9NVI7	Q9NVI7
Q9S7E4	Q9S7E4
O35250	O35250
O13684	O13684
P10069	P10069
P40326	P40326
Q9Y584	Q9Y584
Q62504	Q62504
Q06102	Q06102
O44997	O44997
O42648	O42648
P16522	P16522
O74904	O74904
Q7S1Z3	Q7S1Z3
Q9VCH5	Q9VCH5
Q3UNH4	Q3UNH4
P40069	P40069
Q57UZ7	Q57UZ7
F4JYC8	F4JYC8
Q99990	Q99990
Q9P6R0	Q9P6R0
Q99PU7	Q99PU7
A0A087X1C5	A0A087X1C5
A0A2Z4LIS9	A0A2Z4LIS9
Q8W5B1	Q8W5B1
Q9NV70	Q9NV70
Q08818	Q08818
Q12349	Q12349
Q9USX4	Q9USX4
Q04002	Q04002
Q03079	Q03079
Q92934	Q92934
O95347	O95347
P29266	P29266
Q91XU0	Q91XU0
C0HMD7	C0HMD7
B6TTV8	B6TTV8
P40546	P40546
Q6ZMU5	Q6ZMU5
Q9P7M1	Q9P7M1
Q0P5I5	Q0P5I5
Q9ZWS6	Q9ZWS6
Q9ZPX5	Q9ZPX5
P10242	P10242
P62277	P62277
P14284	P14284
Q9H9Q4	Q9H9Q4
F4KFB3	F4KFB3
O36030	O36030
Q9FEN9	Q9FEN9
Q9SLJ2	Q9SLJ2
Q8IYW5	Q8IYW5
Q15003	Q15003
Q0WP44	Q0WP44
Q7XBS0	Q7XBS0
Q8BX46	Q8BX46
P38781	P38781
Q9UUB5	Q9UUB5
A0A0D2Y5A7	A0A0D2Y5A7
Q7ZYP6	Q7ZYP6
Q6PCD5	Q6PCD5
F4I9G2	F4I9G2
Q6E434	Q6E434
Q7Z695	Q7Z695
Q9JJK1	Q9JJK1
D3ZXW3	D3ZXW3
Q5I2A0	Q5I2A0
Q8MLV1	Q8MLV1
P54939	P54939
Q9N5A8	Q9N5A8
Q9ESK9	Q9ESK9
Q9FG00	Q9FG00
Q9W6G7	Q9W6G7
Q21986	Q21986
Q6DFQ7	Q6DFQ7
P15330	P15330
D3ZKB9	D3ZKB9
Q6C354	Q6C354
P78345	P78345
Q9SKZ5	Q9SKZ5
P49640	P49640
O95568	O95568
Q02764	Q02764
O94621	O94621
Q05942	Q05942
Q03372	Q03372
P14618	P14618
Q283Q6	Q283Q6
Q8VIM5	Q8VIM5
Q8R4T1	Q8R4T1
O18475	O18475
F4ICK8	F4ICK8
O60164	O60164
O22287	O22287
P14736	P14736
P09547	P09547
P38065	P38065
Q9Z110	Q9Z110
P63161	P63161
Q6P161	Q6P161
Q8K1R3	Q8K1R3
A1Z830	A1Z830
Q96EV2	Q96EV2
B6HQ74	B6HQ74
Q3UB74	Q3UB74
Q8R0W0	Q8R0W0
Q91ZE0	Q91ZE0
Q64727	Q64727
O55102	O55102
O75179	O75179
O75955	O75955
P41218	P41218
Q08282	Q08282
Q1K730	Q1K730
Q8R3H9	Q8R3H9
O60733	O60733
Q9VIV2	Q9VIV2
H9G301	H9G301
Q9S7E9	Q9S7E9
Q04477	Q04477
Q9Y448	Q9Y448
Q9BVI4	Q9BVI4
Q53FT3	Q53FT3
P32103	P32103
G5EEG1	G5EEG1
P53102	P53102
Q9BRJ2	Q9BRJ2
Q6EPW7	Q6EPW7
Q9NVI1	Q9NVI1
P60602	P60602
Q9C685	Q9C685
P60002	P60002
O54982	O54982
Q86Y91	Q86Y91
F4I718	F4I718
P53264	P53264
Q9FGQ9	Q9FGQ9
Q8VIM4	Q8VIM4
P34619	P34619
Q99NB1	Q99NB1
S0DHV6	S0DHV6
Q08687	Q08687
Q93ZG9	Q93ZG9
Q96E09	Q96E09
Q09142	Q09142
Q8GZR2	Q8GZR2
Q9ERG0	Q9ERG0
P14832	P14832
Q6PD74	Q6PD74
P60896	P60896
Q91WK7	Q91WK7
P13618	P13618
Q9FIX1	Q9FIX1
Q923W1	Q923W1
P07195	P07195
P24813	P24813
P53808	P53808
P32432	P32432
A0A8I5ZT12	A0A8I5ZT12
P17106	P17106
Q9VFX3	Q9VFX3
P59540	P59540
Q3UL36	Q3UL36
Q69P94	Q69P94
P41920	P41920
P06786	P06786
Q10059	Q10059
Q38998	Q38998
P51587	P51587
P34162	P34162
Q96EY5	Q96EY5
Q43157	Q43157
P53289	P53289
Q9Z206	Q9Z206
P42737	P42737
Q8L960	Q8L960
O01367	O01367
P00415	P00415
P23492	P23492
O13600	O13600
Q9FXI5	Q9FXI5
Q08985	Q08985
O43070	O43070
O13826	O13826
O22059	O22059
Q9STY4	Q9STY4
Q84VX3	Q84VX3
Q05021	Q05021
Q500V5	Q500V5
Q9DAD6	Q9DAD6
Q12511	Q12511
O81775	O81775
Q9NZC9	Q9NZC9
P00314	P00314
Q8R107	Q8R107
O95630	O95630
Q9H910	Q9H910
Q8WWM7	Q8WWM7
Q94AX2	Q94AX2
P43619	P43619
P38852	P38852
P32524	P32524
Q93442	Q93442
A0A436ZRX2	A0A436ZRX2
Q8N3V7	Q8N3V7
D3Z649	D3Z649
P49789	P49789
Q96CU9	Q96CU9
Q0JEB7	Q0JEB7
Q9HAB3	Q9HAB3
Q9BRT2	Q9BRT2
Q6IEG0	Q6IEG0
P30706	P30706
Q96IR7	Q96IR7
A0A1D6IEG9	A0A1D6IEG9
P35551	P35551
Q12297	Q12297
A2AIV2	A2AIV2
Q9GZH2	Q9GZH2
Q8WUG5	Q8WUG5
Q7RZ62	Q7RZ62
Q02873	Q02873
Q80YF9	Q80YF9
Q9FGQ6	Q9FGQ6
Q3UZ39	Q3UZ39
Q86UB2	Q86UB2
Q8RWS0	Q8RWS0
P32841	P32841
P06746	P06746
Q9R0A0	Q9R0A0
Q92794	Q92794
Q9P7J2	Q9P7J2
P51998	P51998
Q84JU6	Q84JU6
P22033	P22033
Q9URQ3	Q9URQ3
Q8CDP0	Q8CDP0
P0C1Z6	P0C1Z6
P50416	P50416
P17883	P17883
H2KZZ2	H2KZZ2
P42073	P42073
Q9LRZ3	Q9LRZ3
P55264	P55264
O94519	O94519
Q12345	Q12345
O23722	O23722
Q22829	Q22829
Q6NUA1	Q6NUA1
Q9UTK5	Q9UTK5
Q6PEY1	Q6PEY1
Q8BGS1	Q8BGS1
Q9UJX5	Q9UJX5
Q65XX7	Q65XX7
Q07532	Q07532
P47149	P47149
Q9H165	Q9H165
Q8VY15	Q8VY15
O74458	O74458
P53507	P53507
P40161	P40161
P19880	P19880
Q9BSF0	Q9BSF0
P39525	P39525
Q9S713	Q9S713
P02240	P02240
P53167	P53167
Q9UGR2	Q9UGR2
Q8RWI0	Q8RWI0
Q4KL25	Q4KL25
Q7Z5Q5	Q7Z5Q5
O74935	O74935
Q10F03	Q10F03
Q9ZVZ9	Q9ZVZ9
P47054	P47054
P34567	P34567
P40459	P40459
Q9UT91	Q9UT91
P33748	P33748
Q8S8K8	Q8S8K8
Q8WWL7	Q8WWL7
P40096	P40096
Q8VYS2	Q8VYS2
P0DJ07	P0DJ07
W0RYD3	W0RYD3
Q80ZI2	Q80ZI2
Q3TYA6	Q3TYA6
P07471	P07471
Q9ULE6	Q9ULE6
Q9C000	Q9C000
A0A0K3AR81	A0A0K3AR81
Q9VX09	Q9VX09
Q9BWU0	Q9BWU0
Q9VYY4	Q9VYY4
P40164	P40164
Q3UHH1	Q3UHH1
Q6TA49	Q6TA49
O00712	O00712
Q94AC8	Q94AC8
Q9Y3V2	Q9Y3V2
Q96P67	Q96P67
P38279	P38279
Q95QK3	Q95QK3
Q7SB95	Q7SB95
Q6FN94	Q6FN94
Q9C5H9	Q9C5H9
Q9SY88	Q9SY88
Q8L7S5	Q8L7S5
Q92262	Q92262
O88382	O88382
Q6P756	Q6P756
Q08050	Q08050
A2RVJ8	A2RVJ8
Q682U6	Q682U6
Q86WB0	Q86WB0
P32037	P32037
O14196	O14196
Q9FGW9	Q9FGW9
Q39134	Q39134
P40121	P40121
Q9SX65	Q9SX65
Q06510	Q06510
P09108	P09108
P53298	P53298
P56749	P56749
P28005	P28005
P35201	P35201
O65502	O65502
Q1K699	Q1K699
O74975	O74975
Q9UHH9	Q9UHH9
P93758	P93758
O43818	O43818
Q14140	Q14140
Q8VZS0	Q8VZS0
Q9SK71	Q9SK71
Q93092	Q93092
Q4G176	Q4G176
P06100	P06100
Q0WNP7	Q0WNP7
O74500	O74500
Q9ES53	Q9ES53
Q9VGA4	Q9VGA4
Q8GUL2	Q8GUL2
Q9UHX1	Q9UHX1
Q05541	Q05541
Q8TF01	Q8TF01
O89050	O89050
B2RW88	B2RW88
Q06266	Q06266
Q5SV06	Q5SV06
Q04359	Q04359
P38110	P38110
Q9C0Z9	Q9C0Z9
Q9UGM6	Q9UGM6
Q8RXH2	Q8RXH2
Q13523	Q13523
Q8TAS1	Q8TAS1
Q9H583	Q9H583
Q8IWL8	Q8IWL8
P47084	P47084
Q12184	Q12184
Q9HB71	Q9HB71
P22293	P22293
O13329	O13329
Q01501	Q01501
Q9ESJ1	Q9ESJ1
Q15126	Q15126
Q8HTL5	Q8HTL5
P53834	P53834
Q61823	Q61823
Q0VD86	Q0VD86
Q8IUR7	Q8IUR7
Q4WSD1	Q4WSD1
Q21209	Q21209
Q13868	Q13868
P38278	P38278
P38863	P38863
Q8LDV3	Q8LDV3
P39103	P39103
P40033	P40033
P42166	P42166
O14880	O14880
Q8R2H7	Q8R2H7
Q92748	Q92748
Q9XE33	Q9XE33
O54963	O54963
P16458	P16458
Q8RXA7	Q8RXA7
Q9CPU2	Q9CPU2
Q7XYY2	Q7XYY2
Q06106	Q06106
P13183	P13183
O23342	O23342
P47148	P47148
Q9NZC4	Q9NZC4
Q4W9R0	Q4W9R0
G5EGQ6	G5EGQ6
Q7TS55	Q7TS55
Q8GWA2	Q8GWA2
Q9Z2C8	Q9Z2C8
O13998	O13998
Q9FIC3	Q9FIC3
O42637	O42637
Q1K548	Q1K548
Q69T99	Q69T99
O02219	O02219
O74191	O74191
Q15646	Q15646
Q9Y817	Q9Y817
O35047	O35047
Q3UK10	Q3UK10
P87310	P87310
Q80VL0	Q80VL0
Q10666	Q10666
P00390	P00390
O43082	O43082
P49677	P49677
Q5EAJ7	Q5EAJ7
Q5GH62	Q5GH62
O94261	O94261
Q9BUE6	Q9BUE6
Q57V03	Q57V03
Q8NCN2	Q8NCN2
Q12188	Q12188
Q06631	Q06631
P09132	P09132
P0DP88	P0DP88
P12524	P12524
O22210	O22210
B9DGU7	B9DGU7
Q9H773	Q9H773
Q7SA60	Q7SA60
Q06892	Q06892
Q59H18	Q59H18
O15047	O15047
Q9SP32	Q9SP32
Q9ZQZ6	Q9ZQZ6
P25584	P25584
Q96VH5	Q96VH5
Q7JRE4	Q7JRE4
Q61687	Q61687
Q9XQN8	Q9XQN8
A6NJ78	A6NJ78
P83212	P83212
Q8CJ00	Q8CJ00
Q10L01	Q10L01
P46959	P46959
O49562	O49562
Q9M658	Q9M658
O15226	O15226
O74461	O74461
P16521	P16521
P18494	P18494
Q62674	Q62674
Q9P1Z0	Q9P1Z0
Q7S300	Q7S300
Q9S7R7	Q9S7R7
P53276	P53276
Q9H4M3	Q9H4M3
Q9M219	Q9M219
Q7SA88	Q7SA88
Q6VMQ6	Q6VMQ6
Q9ZVA7	Q9ZVA7
Q09873	Q09873
Q80WE4	Q80WE4
Q04623	Q04623
Q9NTK1	Q9NTK1
P39979	P39979
P17629	P17629
Q8L5Z4	Q8L5Z4
Q12931	Q12931
Q8L9X2	Q8L9X2
P20609	P20609
P20134	P20134
Q94JY0	Q94JY0
Q61115	Q61115
E7F568	E7F568
O43502	O43502
P38199	P38199
Q8IVI9	Q8IVI9
B5KM66	B5KM66
O23945	O23945
Q84N64	Q84N64
Q5FWH3	Q5FWH3
Q9CPZ1	Q9CPZ1
Q9SM57	Q9SM57
P56347	P56347
Q6ZSS7	Q6ZSS7
G5EFY4	G5EFY4
P04386	P04386
O74560	O74560
Q96RN5	Q96RN5
Q69ZK0	Q69ZK0
Q8BUX5	Q8BUX5
Q04636	Q04636
Q91YI6	Q91YI6
P38351	P38351
P23326	P23326
Q9H813	Q9H813
P40467	P40467
Q95TS5	Q95TS5
Q9US52	Q9US52
Q9VQD4	Q9VQD4
P14908	P14908
Q9WV69	Q9WV69
Q61827	Q61827
P48634	P48634
Q59UY7	Q59UY7
Q06505	Q06505
Q04779	Q04779
P53260	P53260
Q07980	Q07980
Q9NPJ4	Q9NPJ4
Q3URK3	Q3URK3
P34231	P34231
P49588	P49588
Q96CM4	Q96CM4
Q2TB10	Q2TB10
Q6X7J9	Q6X7J9
P19541	P19541
O94913	O94913
P50091	P50091
Q8VIH1	Q8VIH1
Q99207	Q99207
Q9VEX5	Q9VEX5
O48716	O48716
Q9NVH1	Q9NVH1
Q18250	Q18250
Q7Y1W1	Q7Y1W1
Q3ZCG2	Q3ZCG2
P39961	P39961
Q96JM3	Q96JM3
A0A509AE54	A0A509AE54
Q230X8	Q230X8
P06652	P06652
Q9QXV1	Q9QXV1
G5ED47	G5ED47
Q42529	Q42529
Q7RTV3	Q7RTV3
Q92540	Q92540
P06541	P06541
Q8K3W2	Q8K3W2
Q71RC2	Q71RC2
P21771	P21771
P29539	P29539
P07250	P07250
Q9LUJ5	Q9LUJ5
P40099	P40099
Q63707	Q63707
Q6R3K9	Q6R3K9
Q94A82	Q94A82
O70405	O70405
Q8BMI0	Q8BMI0
Q6ZRQ5	Q6ZRQ5
P0CT69	P0CT69
O00625	O00625
Q8N140	Q8N140
Q920Q3	Q920Q3
Q9NWT1	Q9NWT1
Q93ZB2	Q93ZB2
Q8VI67	Q8VI67
Q1K8E0	Q1K8E0
Q9UI40	Q9UI40
Q91YR5	Q91YR5
Q12143	Q12143
Q20745	Q20745
P48437	P48437
Q9VRP5	Q9VRP5
Q9UT32	Q9UT32
Q9C7C4	Q9C7C4
Q4KMQ2	Q4KMQ2
Q9SUE3	Q9SUE3
Q9H1K0	Q9H1K0
Q7Z6K1	Q7Z6K1
Q15022	Q15022
Q66HC5	Q66HC5
P30307	P30307
P15919	P15919
Q12507	Q12507
O94667	O94667
Q9P7C8	Q9P7C8
Q9UHW5	Q9UHW5
Q12046	Q12046
P0CT72	P0CT72
Q9H4I9	Q9H4I9
Q84W65	Q84W65
P40072	P40072
Q9NTM9	Q9NTM9
P22194	P22194
Q9Y7Y5	Q9Y7Y5
Q9LZ08	Q9LZ08
B1ASB6	B1ASB6
P82252	P82252
Q9Y2B4	Q9Y2B4
Q8WWH5	Q8WWH5
G1X9H9	G1X9H9
Q9FK13	Q9FK13
Q6ZIK5	Q6ZIK5
Q944N1	Q944N1
P51959	P51959
Q61451	Q61451
P25588	P25588
O75528	O75528
O00257	O00257
P46997	P46997
P40050	P40050
P32862	P32862
A0A5K1K8Y8	A0A5K1K8Y8
Q9VEA5	Q9VEA5
P91928	P91928
V5IQE0	V5IQE0
Q6W2J9	Q6W2J9
A6NND4	A6NND4
O75204	O75204
P07269	P07269
Q9XUB3	Q9XUB3
Q9BSH3	Q9BSH3
Q8GWA7	Q8GWA7
Q9Y2W2	Q9Y2W2
Q9VVR6	Q9VVR6
Q8LFW5	Q8LFW5
P0C2B9	P0C2B9
Q8S9M1	Q8S9M1
Q9C8Y3	Q9C8Y3
Q8R331	Q8R331
Q336R3	Q336R3
O59748	O59748
Q04748	Q04748
P38241	P38241
Q9LK57	Q9LK57
Q969F2	Q969F2
A0A0D1E6B3	A0A0D1E6B3
Q8VEC4	Q8VEC4
P61236	P61236
P10862	P10862
Q9LU68	Q9LU68
Q9UPZ3	Q9UPZ3
Q7XR83	Q7XR83
O08774	O08774
P34160	P34160
Q9XI84	Q9XI84
Q06324	Q06324
Q9ESC8	Q9ESC8
Q9SYJ8	Q9SYJ8
E9QAU8	E9QAU8
Q5EAF2	Q5EAF2
Q5XKL5	Q5XKL5
Q8BTQ0	Q8BTQ0
Q1W6H9	Q1W6H9
P07261	P07261
P32569	P32569
Q6P4Q7	Q6P4Q7
P47069	P47069
Q9V8P9	Q9V8P9
Q61818	Q61818
P53267	P53267
Q12497	Q12497
Q84MB6	Q84MB6
Q9FVR6	Q9FVR6
Q9XFT3	Q9XFT3
A0A386CAB9	A0A386CAB9
Q9Y253	Q9Y253
Q9P0K8	Q9P0K8
Q3TLD5	Q3TLD5
O95104	O95104
Q8BVN9	Q8BVN9
Q86YS7	Q86YS7
P92189	P92189
Q9SPU7	Q9SPU7
Q98TA5	Q98TA5
Q9Y8G3	Q9Y8G3
Q584D1	Q584D1
P55318	P55318
P38360	P38360
Q6U6G5	Q6U6G5
F4JXF1	F4JXF1
Q9JL04	Q9JL04
O70239	O70239
Q7XB51	Q7XB51
O14097	O14097
Q8IU81	Q8IU81
Q9FJV5	Q9FJV5
P03896	P03896
Q5U419	Q5U419
Q40089	Q40089
Q9VLP3	Q9VLP3
P26358	P26358
P14604	P14604
P36121	P36121
Q84U09	Q84U09
Q9BX79	Q9BX79
O13294	O13294
Q8LAP6	Q8LAP6
Q9I9B9	Q9I9B9
Q8AYS7	Q8AYS7
Q24459	Q24459
Q96QC0	Q96QC0
Q04226	Q04226
F4HU58	F4HU58
Q6NNI3	Q6NNI3
P19447	P19447
Q9NUK0	Q9NUK0
Q9Y530	Q9Y530
Q94AV5	Q94AV5
Q80ZI1	Q80ZI1
F1QN48	F1QN48
Q8N0S6	Q8N0S6
Q92574	Q92574
A6NHX0	A6NHX0
O96626	O96626
P38255	P38255
Q9Y2G2	Q9Y2G2
Q9NAD6	Q9NAD6
O59701	O59701
Q6GQQ9	Q6GQQ9
Q14166	Q14166
Q99LY9	Q99LY9
Q61624	Q61624
Q9NVT9	Q9NVT9
O74350	O74350
O60053	O60053
Q9SEE9	Q9SEE9
Q9M1E7	Q9M1E7
Q8BQR4	Q8BQR4
Q7XI96	Q7XI96
Q53HV7	Q53HV7
O22773	O22773
Q75QN2	Q75QN2
P91277	P91277
P54789	P54789
Q9C5J3	Q9C5J3
Q9Y6P5	Q9Y6P5
Q7JWP6	Q7JWP6
P08638	P08638
Q8IXW5	Q8IXW5
Q7XZF5	Q7XZF5
Q924K8	Q924K8
Q3KP66	Q3KP66
Q9NX08	Q9NX08
Q12102	Q12102
P18412	P18412
P38111	P38111
Q156A1	Q156A1
Q9Y6F1	Q9Y6F1
P59055	P59055
Q7TPF1	Q7TPF1
Q04781	Q04781
Q9Y4E1	Q9Y4E1
Q37708	Q37708
Q6PII3	Q6PII3
Q9M9Y4	Q9M9Y4
Q9HCC0	Q9HCC0
P91399	P91399
A0A096LP01	A0A096LP01
Q63377	Q63377
Q03973	Q03973
P26786	P26786
P61326	P61326
Q7Z6G3	Q7Z6G3
Q6UFS5	Q6UFS5
F4JLC1	F4JLC1
Q8LDL0	Q8LDL0
Q9S9K9	Q9S9K9
P70423	P70423
P48239	P48239
Q04341	Q04341
Q0IIM8	Q0IIM8
Q9BY10	Q9BY10
A0A140LI88	A0A140LI88
Q03305	Q03305
G5EGA9	G5EGA9
O24164	O24164
Q96PV7	Q96PV7
Q19087	Q19087
P93045	P93045
Q8WUX9	Q8WUX9
Q8IXP5	Q8IXP5
O88801	O88801
Q8GT66	Q8GT66
P14066	P14066
Q8N9A8	Q8N9A8
Q4WN10	Q4WN10
Q15911	Q15911
P05084	P05084
Q9D494	Q9D494
G5EE01	G5EE01
Q9XZ34	Q9XZ34
Q9H7D7	Q9H7D7
Q9W413	Q9W413
P54785	P54785
Q9H079	Q9H079
P11115	P11115
Q9LFE0	Q9LFE0
Q06182	Q06182
A9C3R9	A9C3R9
Q969F1	Q969F1
Q8GXL3	Q8GXL3
P20084	P20084
O77264	O77264
Q9H2S6	Q9H2S6
Q01892	Q01892
G5EDM7	G5EDM7
Q04675	Q04675
Q93654	Q93654
O75367	O75367
P54310	P54310
Q9LVB9	Q9LVB9
P24499	P24499
O95503	O95503
P32767	P32767
Q0WUY1	Q0WUY1
Q8VYM2	Q8VYM2
P40999	P40999
P03877	P03877
Q9CQV7	Q9CQV7
Q8RWV8	Q8RWV8
Q3E798	Q3E798
Q8TDM6	Q8TDM6
P40079	P40079
B7Z0X7	B7Z0X7
Q70Z53	Q70Z53
Q24472	Q24472
Q04213	Q04213
Q9Y2S7	Q9Y2S7
P56282	P56282
Q9CQC7	Q9CQC7
Q8IWD4	Q8IWD4
P42566	P42566
Q6P1K2	Q6P1K2
Q80TG1	Q80TG1
Q57ZI5	Q57ZI5
Q03976	Q03976
Q93VP3	Q93VP3
P55212	P55212
Q22618	Q22618
P21145	P21145
P33201	P33201
P28715	P28715
Q05934	Q05934
P42697	P42697
O74499	O74499
Q9H8M2	Q9H8M2
Q7TSH3	Q7TSH3
Q99JB8	Q99JB8
Q56X52	Q56X52
Q5VW36	Q5VW36
Q06596	Q06596
O14235	O14235
P39682	P39682
Q9CQT7	Q9CQT7
Q3ZCT1	Q3ZCT1
P07978	P07978
Q01831	Q01831
P27705	P27705
Q8LIY8	Q8LIY8
P32453	P32453
Q39261	Q39261
P47139	P47139
Q9EQ28	Q9EQ28
P22735	P22735
P93009	P93009
Q9VWS0	Q9VWS0
Q9P0P8	Q9P0P8
Q4PSK3	Q4PSK3
P54790	P54790
P56288	P56288
Q66GP9	Q66GP9
Q9BQ48	Q9BQ48
Q3UN04	Q3UN04
Q9WTV7	Q9WTV7
Q8K4R8	Q8K4R8
O14336	O14336
G5ED29	G5ED29
A8DYY6	A8DYY6
Q6PIV2	Q6PIV2
Q9P7S3	Q9P7S3
Q8QFR4	Q8QFR4
Q8IV76	Q8IV76
Q09014	Q09014
P69850	P69850
Q9FFD8	Q9FFD8
Q9VS24	Q9VS24
Q5H9F3	Q5H9F3
Q9LRH6	Q9LRH6
Q1MTQ0	Q1MTQ0
Q8N3J3	Q8N3J3
Q9FNZ4	Q9FNZ4
Q9UT31	Q9UT31
Q8WWY6	Q8WWY6
Q06032	Q06032
Q8L6Z4	Q8L6Z4
Q6NNL9	Q6NNL9
P06733	P06733
Q8WV22	Q8WV22
Q08605	Q08605
Q9JJ28	Q9JJ28
D4A3U0	D4A3U0
Q9M280	Q9M280
C6KST8	C6KST8
Q6P1L8	Q6P1L8
H2L056	H2L056
Q8IZP1	Q8IZP1
Q9BTP7	Q9BTP7
Q9NQ31	Q9NQ31
Q9CRB9	Q9CRB9
O60090	O60090
Q9BV68	Q9BV68
Q60866	Q60866
O64827	O64827
O43812	O43812
Q8W489	Q8W489
Q563C3	Q563C3
Q9SYM0	Q9SYM0
Q9P6I9	Q9P6I9
P38874	P38874
P32800	P32800
Q9VNH1	Q9VNH1
Q6SKR5	Q6SKR5
Q86VZ6	Q86VZ6
P15343	P15343
P46995	P46995
Q8IZD2	Q8IZD2
Q84K96	Q84K96
Q8NDD1	Q8NDD1
Q9FEC4	Q9FEC4
F4JCX9	F4JCX9
Q5M731	Q5M731
Q9UHD9	Q9UHD9
P06703	P06703
Q9LY74	Q9LY74
G5EEH9	G5EEH9
Q9NXZ1	Q9NXZ1
Q9FZF1	Q9FZF1
Q9C9U5	Q9C9U5
Q96AP0	Q96AP0
P22734	P22734
Q96LT9	Q96LT9
Q9Y4W2	Q9Y4W2
P22134	P22134
P43582	P43582
Q96RG2	Q96RG2
Q07684	Q07684
Q9UDR5	Q9UDR5
Q13061	Q13061
P0DPG3	P0DPG3
Q4E657	Q4E657
P22265	P22265
Q6ZV65	Q6ZV65
Q8WW12	Q8WW12
Q9CQP8	Q9CQP8
Q02953	Q02953
Q08119	Q08119
Q9JMC2	Q9JMC2
Q9HDZ6	Q9HDZ6
P15619	P15619
Q92989	Q92989
Q949P2	Q949P2
Q5XVG3	Q5XVG3
P26188	P26188
Q02884	Q02884
Q05949	Q05949
Q15013	Q15013
Q9Z1P6	Q9Z1P6
P46673	P46673
Q8TE02	Q8TE02
Q95QD7	Q95QD7
P33411	P33411
Q9URX7	Q9URX7
Q12462	Q12462
Q9SDW0	Q9SDW0
Q8NI36	Q8NI36
Q80VA5	Q80VA5
P23508	P23508
Q6NTE8	Q6NTE8
P47043	P47043
Q09779	Q09779
Q00597	Q00597
Q02614	Q02614
Q9FFS4	Q9FFS4
Q3SXM5	Q3SXM5
O95163	O95163
Q9LSD0	Q9LSD0
Q9S7D1	Q9S7D1
Q42545	Q42545
Q6P589	Q6P589
P32570	P32570
Q12486	Q12486
Q4VC44	Q4VC44
Q8LEA8	Q8LEA8
P00856	P00856
O02326	O02326
P38907	P38907
P93303	P93303
P38313	P38313
P08635	P08635
Q94ID2	Q94ID2
Q9LES4	Q9LES4
Q95R35	Q95R35
P42858	P42858
Q961D9	Q961D9
Q3V0B4	Q3V0B4
Q03071	Q03071
Q9BUA3	Q9BUA3
O14832	O14832
