O74740	accession	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
Q4VAE3	Q4VAE3	Mus musculus	Metazoa	234		False
P27716	P27716	Drosophila melanogaster	Metazoa	362		True
E9QDC5	E9QDC5	Danio rerio	Metazoa	294		True
Q96GE9	Q96GE9	Homo sapiens	Metazoa	116		True
Q86W26	Q86W26	Homo sapiens	Metazoa	655		False
Q9FFG0	Q9FFG0	Arabidopsis thaliana	Plants	248		False
Q923S6	Q923S6	Mus musculus	Metazoa	574		False
G5EFY7	G5EFY7	Caenorhabditis elegans	Metazoa	295		False
Q5SXI5	Q5SXI5	Mus musculus	Metazoa	585		False
O75127	O75127	Homo sapiens	Metazoa	700		False
Q8R3P9	Q8R3P9	Mus musculus	Metazoa	1054		False
Q99MU3	Q99MU3	Mus musculus	Metazoa	1178		False
Q9BV86	Q9BV86	Homo sapiens	Metazoa	223		False
Q9W1R4	Q9W1R4	Drosophila melanogaster	Metazoa	1395		False
Q9S9Z2	Q9S9Z2	Arabidopsis thaliana	Plants	365		False
A0A509AKT6	A0A509AKT6	Plasmodium berghei (strain Anka)	Other	455		True
Q5N712	Q5N712	Oryza sativa subsp. japonica	Plants	1286		False
Q9VKM1	Q9VKM1	Drosophila melanogaster	Metazoa	843		False
Q10302	Q10302	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	646		False
Q9BWM7	Q9BWM7	Homo sapiens	Metazoa	321		False
Q8W593	Q8W593	Arabidopsis thaliana	Plants	350		False
Q9LUI2	Q9LUI2	Arabidopsis thaliana	Plants	1728		False
O35683	O35683	Mus musculus	Metazoa	70		True
Q9SGS4	Q9SGS4	Arabidopsis thaliana	Plants	302		False
A0A2R6QE26	A0A2R6QE26	Actinidia chinensis var. chinensis	Plants	689		False
O44783	O44783	Drosophila melanogaster	Metazoa	589		False
Q8IVP5	Q8IVP5	Homo sapiens	Metazoa	155		True
P53958	P53958	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	396		False
Q8N5C6	Q8N5C6	Homo sapiens	Metazoa	995		False
O60682	O60682	Homo sapiens	Metazoa	206		False
Q92629	Q92629	Homo sapiens	Metazoa	289		True
Q02890	Q02890	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	363		False
Q6FI81	Q6FI81	Homo sapiens	Metazoa	312		False
Q8WYA6	Q8WYA6	Homo sapiens	Metazoa	563		False
Q06411	Q06411	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	708		False
Q7L3V2	Q7L3V2	Homo sapiens	Metazoa	364		False
P40535	P40535	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	587		False
Q9U1H0	Q9U1H0	Drosophila melanogaster	Metazoa	1832		False
Q92922	Q92922	Homo sapiens	Metazoa	1105		False
Q8BY35	Q8BY35	Mus musculus	Metazoa	655		False
P83213	P83213	Bolinus brandaris	Metazoa	54		False
A0A163UT06	A0A163UT06	Caenorhabditis elegans	Metazoa	277		False
Q7M6Y2	Q7M6Y2	Mus musculus	Metazoa	395		False
Q9BQA5	Q9BQA5	Homo sapiens	Metazoa	517		False
O13894	O13894	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	124		False
P07276	P07276	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1031		False
Q6ZT62	Q6ZT62	Homo sapiens	Metazoa	677		False
Q96EA4	Q96EA4	Homo sapiens	Metazoa	605		False
P78811	P78811	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	506		False
Q9VQ91	Q9VQ91	Drosophila melanogaster	Metazoa	576		False
P40041	P40041	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	505		False
Q9BQ83	Q9BQ83	Homo sapiens	Metazoa	275		False
Q9HCC9	Q9HCC9	Homo sapiens	Metazoa	887		False
Q02100	Q02100	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	647		False
Q62384	Q62384	Mus musculus	Metazoa	459		False
O74359	O74359	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	663		False
Q9NXF7	Q9NXF7	Homo sapiens	Metazoa	216		False
P83758	P83758	Danio rerio	Metazoa	448		False
Q9FIG9	Q9FIG9	Arabidopsis thaliana	Plants	801		False
P11471	P11471	Chlamydomonas reinhardtii	Plants	245		False
F4K687	F4K687	Arabidopsis thaliana	Plants	238		False
Q9VPM5	Q9VPM5	Drosophila melanogaster	Metazoa	539		False
O60934	O60934	Homo sapiens	Metazoa	754		False
Q9UT19	Q9UT19	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	764		False
Q7Z2D5	Q7Z2D5	Homo sapiens	Metazoa	763		True
Q9BRD0	Q9BRD0	Homo sapiens	Metazoa	619		False
P12294	P12294	Saccharomyces cerevisiae	Fungi	476		False
Q9SS48	Q9SS48	Arabidopsis thaliana	Plants	629		False
Q94920	Q94920	Drosophila melanogaster	Metazoa	282		True
Q8IY22	Q8IY22	Homo sapiens	Metazoa	773		False
O94238	O94238	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	134		False
Q03214	Q03214	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1411		False
P40473	P40473	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	351		False
P0DI81	P0DI81	Homo sapiens	Metazoa	140		False
Q06142	Q06142	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	861		False
P43116	P43116	Homo sapiens	Metazoa	358		True
A1Z8D0	A1Z8D0	Drosophila melanogaster	Metazoa	459		False
Q69YH5	Q69YH5	Homo sapiens	Metazoa	1023		False
P09940	P09940	Cyberlindnera jadinii	Fungi	63		False
Q8IEK7	Q8IEK7	Plasmodium falciparum (isolate 3D7)	Other	87		False
A1A6M1	A1A6M1	Arabidopsis thaliana	Plants	387		False
P47174	P47174	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	117		False
P42695	P42695	Homo sapiens	Metazoa	1498		False
Q9BRT3	Q9BRT3	Homo sapiens	Metazoa	115		False
P39996	P39996	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	337		False
A2AMM0	A2AMM0	Mus musculus	Metazoa	362		False
O76075	O76075	Homo sapiens	Metazoa	338		False
Q02931	Q02931	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	896		False
P78563	P78563	Homo sapiens	Metazoa	741		False
Q5JTH9	Q5JTH9	Homo sapiens	Metazoa	1297		False
Q9Y226	Q9Y226	Homo sapiens	Metazoa	551		True
A0A061ACU2	A0A061ACU2	Caenorhabditis elegans	Metazoa	2442		True
P43122	P43122	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	407		False
Q02354	Q02354	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	440		False
Q9H8E8	Q9H8E8	Homo sapiens	Metazoa	782		False
Q41062	Q41062	Pisum sativum	Plants	1011		False
O17850	O17850	Caenorhabditis elegans	Metazoa	317		False
Q8K3D3	Q8K3D3	Mus musculus	Metazoa	89		False
P41046	P41046	Drosophila melanogaster	Metazoa	550		False
Q8SXD4	Q8SXD4	Drosophila melanogaster	Metazoa	1122		False
Q01842	Q01842	Drosophila melanogaster	Metazoa	732		False
P29418	P29418	Rattus norvegicus	Metazoa	51		False
Q9WUR2	Q9WUR2	Mus musculus	Metazoa	391		False
Q9NPL8	Q9NPL8	Homo sapiens	Metazoa	285		True
P32761	P32761	Chlamydomonas moewusii	Plants	218		False
Q16635	Q16635	Homo sapiens	Metazoa	262		False
Q9FQ08	Q9FQ08	Arabidopsis thaliana	Plants	621		False
P51509	P51509	Gallus gallus	Metazoa	549		False
Q7Z6L0	Q7Z6L0	Homo sapiens	Metazoa	340		False
Q8IZT9	Q8IZT9	Homo sapiens	Metazoa	166		False
O94603	O94603	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	948		False
Q9Y5N6	Q9Y5N6	Homo sapiens	Metazoa	252		False
Q8L794	Q8L794	Arabidopsis thaliana	Plants	478		False
P53883	P53883	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	403		False
P54657	P54657	Dictyostelium discoideum	Other	213		False
Q67UU9	Q67UU9	Oryza sativa subsp. japonica	Plants	426		False
Q18490	Q18490	Caenorhabditis elegans	Metazoa	142		False
Q9NVH2	Q9NVH2	Homo sapiens	Metazoa	962		False
P0DP99	P0DP99	Mus musculus	Metazoa	47		True
P70460	P70460	Mus musculus	Metazoa	375		False
Q54TN2	Q54TN2	Dictyostelium discoideum	Other	580		False
Q8GXH3	Q8GXH3	Arabidopsis thaliana	Plants	371		False
O42913	O42913	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	342		False
Q96PY6	Q96PY6	Homo sapiens	Metazoa	1258		False
O08773	O08773	Rattus norvegicus	Metazoa	544		False
Q34807	Q34807	Wickerhamomyces canadensis	Fungi	231		False
Q8IXQ6	Q8IXQ6	Homo sapiens	Metazoa	854		False
P53256	P53256	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	223		False
Q6T4R5	Q6T4R5	Homo sapiens	Metazoa	1651		False
Q9UUB6	Q9UUB6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	300		False
Q10337	Q10337	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	849		False
Q9BZE1	Q9BZE1	Homo sapiens	Metazoa	423		False
Q6P9H5	Q6P9H5	Homo sapiens	Metazoa	292		False
Q8C5Y2	Q8C5Y2	Mus musculus	Metazoa	53		True
Q5SGE0	Q5SGE0	Rattus norvegicus	Metazoa	1392		False
Q13772	Q13772	Homo sapiens	Metazoa	614		False
P34247	P34247	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	250		False
Q05048	Q05048	Homo sapiens	Metazoa	431		False
Q9FVQ1	Q9FVQ1	Arabidopsis thaliana	Plants	557		False
O74991	O74991	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	577		False
Q9C7A2	Q9C7A2	Arabidopsis thaliana	Plants	590		False
Q09902	Q09902	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	85		False
P53854	P53854	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	179		False
Q06493	Q06493	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	454		False
P11171	P11171	Homo sapiens	Metazoa	864		False
Q01217	Q01217	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	863		False
P40065	P40065	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	302		False
P32451	P32451	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	375		False
P29509	P29509	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	319		False
E9Q7G0	E9Q7G0	Mus musculus	Metazoa	2094		False
Q8VY77	Q8VY77	Arabidopsis thaliana	Plants	91		True
Q9Y4P9	Q9Y4P9	Homo sapiens	Metazoa	236		False
Q5ND04	Q5ND04	Mus musculus	Metazoa	624		False
Q12199	Q12199	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	356		False
Q9Y3B8	Q9Y3B8	Homo sapiens	Metazoa	237		False
O35144	O35144	Mus musculus	Metazoa	541		False
Q8WXD5	Q8WXD5	Homo sapiens	Metazoa	167		False
Q9H6F5	Q9H6F5	Homo sapiens	Metazoa	360		False
Q86TG7	Q86TG7	Homo sapiens	Metazoa	708		False
Q9NY74	Q9NY74	Homo sapiens	Metazoa	926		False
Q9V466	Q9V466	Drosophila melanogaster	Metazoa	845		False
Q04149	Q04149	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	632		False
O74547	O74547	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	422		False
P41696	P41696	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	914		False
Q5SSJ5	Q5SSJ5	Homo sapiens	Metazoa	553		False
P38208	P38208	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133		False
P12787	P12787	Mus musculus	Metazoa	146		False
P26321	P26321	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	297		False
Q9VLJ8	Q9VLJ8	Drosophila melanogaster	Metazoa	453		False
P47035	P47035	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1189		False
Q9Y5R4	Q9Y5R4	Homo sapiens	Metazoa	338		False
Q99836	Q99836	Homo sapiens	Metazoa	296		False
P36152	P36152	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	348		False
Q949T8	Q949T8	Arabidopsis thaliana	Plants	497		False
P28147	P28147	Arabidopsis thaliana	Plants	200		False
Q93062	Q93062	Homo sapiens	Metazoa	196		False
F4JV80	F4JV80	Arabidopsis thaliana	Plants	155		False
Q67ZB6	Q67ZB6	Arabidopsis thaliana	Plants	462		False
Q8GXR9	Q8GXR9	Arabidopsis thaliana	Plants	519		False
Q9BT78	Q9BT78	Homo sapiens	Metazoa	406		False
Q9DE46	Q9DE46	Xenopus laevis	Metazoa	1458		False
Q8NHG8	Q8NHG8	Homo sapiens	Metazoa	242		False
P38786	P38786	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	293		False
Q9P1Z3	Q9P1Z3	Homo sapiens	Metazoa	774		False
Q9VKV5	Q9VKV5	Drosophila melanogaster	Metazoa	319		False
Q6P1J9	Q6P1J9	Homo sapiens	Metazoa	531		False
Q8BZ97	Q8BZ97	Mus musculus	Metazoa	688		False
Q9GZP8	Q9GZP8	Homo sapiens	Metazoa	106		False
H2KZH5	H2KZH5	Caenorhabditis elegans	Metazoa	621		False
Q9M394	Q9M394	Arabidopsis thaliana	Plants	471		False
Q9WVM1	Q9WVM1	Mus musculus	Metazoa	628		False
Q7Z7H8	Q7Z7H8	Homo sapiens	Metazoa	261		False
Q99816	Q99816	Homo sapiens	Metazoa	390		False
Q70CQ1	Q70CQ1	Homo sapiens	Metazoa	688		False
O61016	O61016	Crithidia fasciculata	Other	151		False
P40470	P40470	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	206		False
Q25423	Q25423	Leishmania tarentolae	Other	187		False
Q60949	Q60949	Mus musculus	Metazoa	1255		False
Q8GWE0	Q8GWE0	Arabidopsis thaliana	Plants	702		False
Q8BHN1	Q8BHN1	Mus musculus	Metazoa	524		False
Q99LC3	Q99LC3	Mus musculus	Metazoa	355		False
Q93VR9	Q93VR9	Arabidopsis thaliana	Plants	326		False
Q10178	Q10178	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1205		False
Q92750	Q92750	Homo sapiens	Metazoa	862		False
O42254	O42254	Gallus gallus	Metazoa	576		False
Q9FMM3	Q9FMM3	Arabidopsis thaliana	Plants	1714		False
O77408	O77408	Lymnaea stagnalis	Metazoa	638		True
P53332	P53332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	305		False
Q08913	Q08913	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	375		True
P25032	P25032	Triticum aestivum	Plants	354		False
Q9NYK5	Q9NYK5	Homo sapiens	Metazoa	338		False
P80483	P80483	Amphidinium carterae	Other	323		False
Q8IY18	Q8IY18	Homo sapiens	Metazoa	1101		False
Q8SX37	Q8SX37	Drosophila melanogaster	Metazoa	224		True
Q811H0	Q811H0	Mus musculus	Metazoa	420		False
Q8TC71	Q8TC71	Homo sapiens	Metazoa	538		False
Q8TC26	Q8TC26	Homo sapiens	Metazoa	289		True
Q940X9	Q940X9	Arabidopsis thaliana	Plants	826		False
P70331	P70331	Mus musculus	Metazoa	251		False
Q8GY61	Q8GY61	Arabidopsis thaliana	Plants	335		False
O75475	O75475	Homo sapiens	Metazoa	530		False
P21228	P21228	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	821		False
Q10665	Q10665	Caenorhabditis elegans	Metazoa	754		False
Q9UUG2	Q9UUG2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	621		False
Q17990	Q17990	Caenorhabditis elegans	Metazoa	439		True
Q8NCG7	Q8NCG7	Homo sapiens	Metazoa	672		True
P33076	P33076	Homo sapiens	Metazoa	1130		False
P14064	P14064	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	554		False
Q9SX77	Q9SX77	Arabidopsis thaliana	Plants	257		False
Q9P2D0	Q9P2D0	Homo sapiens	Metazoa	1353		False
Q13562	Q13562	Homo sapiens	Metazoa	356		False
Q00422	Q00422	Mus musculus	Metazoa	454		False
B5TYT3	B5TYT3	Arabidopsis thaliana	Plants	771		True
Q5XIQ3	Q5XIQ3	Rattus norvegicus	Metazoa	316		False
Q39083	Q39083	Arabidopsis thaliana	Plants	206		False
P82412	P82412	Spinacia oleracea	Plants	179		False
Q9BSJ6	Q9BSJ6	Homo sapiens	Metazoa	248		False
Q8N726	Q8N726	Homo sapiens	Metazoa	132		False
Q5PP37	Q5PP37	Arabidopsis thaliana	Plants	473		False
D6VTK4	D6VTK4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	431		True
Q9BU64	Q9BU64	Homo sapiens	Metazoa	300		False
Q1K8V2	Q1K8V2	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	91		False
G2TRN4	G2TRN4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	104		False
Q9LRI8	Q9LRI8	Spinacia oleracea	Plants	562		False
Q9V3H8	Q9V3H8	Drosophila melanogaster	Metazoa	133		False
Q9URV9	Q9URV9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	124		False
P40387	P40387	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	513		False
Q60864	Q60864	Mus musculus	Metazoa	543		False
Q8IVS8	Q8IVS8	Homo sapiens	Metazoa	523		False
Q68CP9	Q68CP9	Homo sapiens	Metazoa	1835		False
P25451	P25451	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	205		False
Q26366	Q26366	Drosophila melanogaster	Metazoa	453		False
G5EDP2	G5EDP2	Caenorhabditis elegans	Metazoa	412		False
Q9BQ65	Q9BQ65	Homo sapiens	Metazoa	265		False
Q9DAG4	Q9DAG4	Mus musculus	Metazoa	180		False
Q8IXI2	Q8IXI2	Homo sapiens	Metazoa	618		False
O00483	O00483	Homo sapiens	Metazoa	81		True
P25359	P25359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	394		False
Q9H204	Q9H204	Homo sapiens	Metazoa	178		False
Q96DN6	Q96DN6	Homo sapiens	Metazoa	1003		False
Q4GZF6	Q4GZF6	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	171		False
Q12208	Q12208	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	290		False
Q5JTV8	Q5JTV8	Homo sapiens	Metazoa	583		False
Q9UL40	Q9UL40	Homo sapiens	Metazoa	294		False
Q9Y7K9	Q9Y7K9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	246		False
P43579	P43579	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	692		False
P51906	P51906	Mus musculus	Metazoa	523		True
A8MUP2	A8MUP2	Homo sapiens	Metazoa	240		False
O75607	O75607	Homo sapiens	Metazoa	178		False
P25644	P25644	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	796		False
Q15326	Q15326	Homo sapiens	Metazoa	602		False
P19659	P19659	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1081		False
Q9LPZ4	Q9LPZ4	Arabidopsis thaliana	Plants	204		False
P55786	P55786	Homo sapiens	Metazoa	919		False
Q2VLK6	Q2VLK6	Trypanosoma cruzi (strain CL Brener)	Other	358		False
P13468	P13468	Drosophila melanogaster	Metazoa	463		False
Q02086	Q02086	Homo sapiens	Metazoa	613		False
Q14CZ7	Q14CZ7	Homo sapiens	Metazoa	662		False
Q9Y0B7	Q9Y0B7	Dictyostelium discoideum	Other	305		False
P38749	P38749	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	330		False
P61581	P61581	Homo sapiens	Metazoa	75		False
Q9H190	Q9H190	Homo sapiens	Metazoa	292		False
Q11184	Q11184	Caenorhabditis elegans	Metazoa	425		False
Q8T0G4	Q8T0G4	Drosophila melanogaster	Metazoa	629		False
O17286	O17286	Caenorhabditis elegans	Metazoa	403		False
Q9NVS2	Q9NVS2	Homo sapiens	Metazoa	196		False
Q9D945	Q9D945	Mus musculus	Metazoa	130		False
P25573	P25573	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	417		True
Q8IYT2	Q8IYT2	Homo sapiens	Metazoa	770		False
P06785	P06785	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	304		False
Q9BXU7	Q9BXU7	Homo sapiens	Metazoa	913		False
Q12308	Q12308	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	588		False
P03874	P03874	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	630		False
Q9C103	Q9C103	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	735		False
Q71SY5	Q71SY5	Homo sapiens	Metazoa	747		False
Q06148	Q06148	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	342		True
Q6ZWS8	Q6ZWS8	Mus musculus	Metazoa	374		False
Q8GZ79	Q8GZ79	Arabidopsis thaliana	Plants	274		False
P21269	P21269	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	546		False
P35632	P35632	Arabidopsis thaliana	Plants	232		False
P25346	P25346	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	518		True
Q8VHW8	Q8VHW8	Rattus norvegicus	Metazoa	275		True
Q91ZX6	Q91ZX6	Mus musculus	Metazoa	588		False
Q9N658	Q9N658	Drosophila melanogaster	Metazoa	541		False
O61715	O61715	Caenorhabditis elegans	Metazoa	454		True
Q8S9G8	Q8S9G8	Arabidopsis thaliana	Plants	801		False
A0A075TXZ8	A0A075TXZ8	Penicillium expansum	Fungi	799		False
Q767K8	Q767K8	Sus scrofa	Metazoa	258		False
Q01664	Q01664	Homo sapiens	Metazoa	338		False
Q42564	Q42564	Arabidopsis thaliana	Plants	287		False
P34766	P34766	Caenorhabditis elegans	Metazoa	270		False
Q9GZU8	Q9GZU8	Homo sapiens	Metazoa	254		False
A0A2R6X6S3	A0A2R6X6S3	Marchantia polymorpha	Plants	911		False
Q9C0C6	Q9C0C6	Homo sapiens	Metazoa	399		False
Q9VH36	Q9VH36	Drosophila melanogaster	Metazoa	585		False
Q54T86	Q54T86	Dictyostelium discoideum	Other	568		False
Q09904	Q09904	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1159		False
Q8N6L0	Q8N6L0	Homo sapiens	Metazoa	562		False
P10834	P10834	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	293		False
Q12020	Q12020	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	392		False
Q8CGU1	Q8CGU1	Mus musculus	Metazoa	691		False
Q84JE8	Q84JE8	Arabidopsis thaliana	Plants	694		False
Q38890	Q38890	Arabidopsis thaliana	Plants	621		True
P46951	P46951	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	817		False
Q8SVA6	Q8SVA6	Encephalitozoon cuniculi (strain GB-M1)	Fungi	391		False
P08708	P08708	Homo sapiens	Metazoa	135		False
P53062	P53062	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	197		True
P27895	P27895	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1000		False
P17890	P17890	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	251		False
Q6AXT7	Q6AXT7	Rattus norvegicus	Metazoa	478		False
P82413	P82413	Spinacia oleracea	Plants	233		False
Q944A6	Q944A6	Arabidopsis thaliana	Plants	487		False
Q8CH19	Q8CH19	Mus musculus	Metazoa	720		False
O20029	O20029	Chlamydomonas reinhardtii	Plants	191		False
Q8VIJ5	Q8VIJ5	Rattus norvegicus	Metazoa	916		False
P42356	P42356	Homo sapiens	Metazoa	2102		False
P51530	P51530	Homo sapiens	Metazoa	1060		False
Q9DC04	Q9DC04	Mus musculus	Metazoa	966		False
P32048	P32048	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	576		False
P06506	P06506	Spinacia oleracea	Plants	138		False
Q9M022	Q9M022	Arabidopsis thaliana	Plants	242		False
P10627	P10627	Drosophila melanogaster	Metazoa	490		False
Q9BZB8	Q9BZB8	Homo sapiens	Metazoa	566		False
Q6K678	Q6K678	Oryza sativa subsp. japonica	Plants	210		False
Q38FI2	Q38FI2	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	143		False
P51970	P51970	Homo sapiens	Metazoa	172		False
O77059	O77059	Drosophila melanogaster	Metazoa	542		False
P50105	P50105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	388		False
Q9D115	Q9D115	Mus musculus	Metazoa	76		False
P52654	P52654	Drosophila melanogaster	Metazoa	366		False
P33322	P33322	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	483		False
P04117	P04117	Mus musculus	Metazoa	132		False
Q9U3D6	Q9U3D6	Caenorhabditis elegans	Metazoa	964		False
P36632	P36632	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	614		False
P41814	P41814	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	478		False
P53119	P53119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	910		False
O60447	O60447	Homo sapiens	Metazoa	810		False
Q8CIN9	Q8CIN9	Rattus norvegicus	Metazoa	362		False
Q9S720	Q9S720	Arabidopsis thaliana	Plants	247		False
Q2M3C6	Q2M3C6	Homo sapiens	Metazoa	523		False
Q96NW4	Q96NW4	Homo sapiens	Metazoa	1050		False
Q07589	Q07589	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	356		False
Q94CD4	Q94CD4	Arabidopsis thaliana	Plants	134		False
Q9NWQ9	Q9NWQ9	Homo sapiens	Metazoa	140		False
Q8JFQ4	Q8JFQ4	Gallus gallus	Metazoa	277		False
Q63638	Q63638	Rattus norvegicus	Metazoa	3259		False
O94294	O94294	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	886		False
Q14192	Q14192	Homo sapiens	Metazoa	279		False
A3R064	A3R064	Gallus gallus	Metazoa	426		False
O60729	O60729	Homo sapiens	Metazoa	498		False
P22697	P22697	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	236		False
Q9H6D3	Q9H6D3	Homo sapiens	Metazoa	395		True
Q9P5M9	Q9P5M9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	257		False
P40014	P40014	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	221		False
P25555	P25555	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	427		False
P0CT73	P0CT73	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	152		False
V5IMN1	V5IMN1	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	325		False
Q9P6S5	Q9P6S5	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	307		False
Q9SJX7	Q9SJX7	Arabidopsis thaliana	Plants	433		False
Q69ZR9	Q69ZR9	Mus musculus	Metazoa	1610		False
P38985	P38985	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	146		False
